year,company,category,market_cap_b_usd,revenue,gross_profit,net_income,earning_per_share,ebitda,shareholder_equity,cash_flow_operating,cash_flow_investing,cash_flow_financing,current_ratio,debt_equity_ratio,roe,roa,roi,net_profit_margin,free_cash_flow_per_share,return_on_tangible_equity,number_of_employees,inflation_rate_us
2012,MSFT,IT,224.8,73723,56193,16978,2,30923,66363,31626,-24786,-9408,2.6029,0.18,25.5835,14.0001,22.0276,23.0295,0.5798,34.1328,128000,2.0693
2011,MSFT,IT,218.38,69943,54366,23150,2.69,29927,57083,26994,-14616,-8376,2.6037,0.2088,40.555,21.2964,33.5488,33.0984,0.3921,52.9046,99000,3.1568
2010,MSFT,IT,238.78,62484,50089,18760,2.1,26771,46175,24073,-11314,-13291,2.1293,0.1286,40.628,21.7853,36.7023,30.0237,0.7057,57.5054,94000,1.64
2009,MSFT,IT,270.64,58437,46282,14569,1.62,22925,39558,19037,-15770,-7463,1.8229,0.1453,36.8295,18.7051,33.6435,24.9311,1.7695,57.5941,90000,-0.3555
2022,GOOG,IT,1144.35,282836,156633,59972,4.56,90770,256144,91495,-20298,-69757,2.378,0.0574,23.4134,16.4188,22.1426,21.2038,-0.3613,26.6424,190234,8.0028
2021,GOOG,IT,1910.26,257637,146698,76033,5.61,91155,251635,91652,-35523,-61362,2.9281,0.0589,30.2156,21.1633,28.5354,29.5117,1.7123,33.4561,156500,4.6979
2020,GOOG,IT,1179.4,182527,97795,40269,2.93,54921,222544,65124,-32773,-24408,3.0668,0.0626,18.0949,12.5992,17.0288,22.0619,0.843,20.1422,135301,1.2336
2019,GOOG,IT,917.82,161857,89961,34343,2.458,46012,201442,54520,-29491,-23209,3.3741,0.0226,17.0486,12.4472,16.6717,21.2181,0.5566,19.2033,118899,1.8122
2018,GOOG,IT,719.63,136819,77270,30736,2.185,36559,177628,47971,-28504,-13179,3.919,0.0226,17.3036,13.2032,16.9214,22.4647,-0.0705,19.5124,98771,2.4426
2017,GOOG,IT,726.47,110855,65272,12662,0.9,33093,152502,37091,-31401,-8298,5.1403,0.026,8.3028,6.4178,8.0922,11.4221,-0.151,9.5158,80110,2.1301
2016,GOOG,IT,530.84,90272,55134,19478,1.3925,29860,139036,36036,-31165,-8332,6.2908,0.0283,14.0093,11.6289,13.6237,21.577,0.6249,16.3323,72053,1.2616
2015,GOOG,IT,521.67,74989,46825,15826,1.142,24423,120331,26572,-23711,-4225,4.6667,0.0434,13.5859,11.0863,13.3643,21.1044,0.3054,16.2481,61814,0.1186
2014,GOOG,IT,354.75,66001,40310,14136,1.0285,21475,103860,23024,-21055,-2087,4.6878,0.0504,13.1138,10.5429,12.7185,21.4179,0.0463,16.2814,53600,1.6222
2013,GOOG,IT,371.53,55519,33526,12733,0.9395,19342,87309,18659,-13679,-857,4.5817,0.0601,15.0729,11.8644,14.6965,22.9345,-0.2373,18.8671,47756,1.4648
2012,GOOG,IT,230.54,46039,28863,10737,0.808,16796,71715,16619,-13056,1229,4.2166,0.0772,16.1096,12.3169,15.4652,23.3215,0.1539,21.512,53861,2.0693
2011,GOOG,IT,207.65,37905,24717,9737,0.744,13593,58145,14565,-19041,807,5.9192,0.0723,16.7461,13.4167,15.9281,25.6879,0.3039,19.7822,32467,3.1568
2010,GOOG,IT,188.54,29321,18904,8505,0.6578,11777,46241,11081,-10680,3050,4.1579,0.0749,18.3928,14.7016,18.3928,29.0065,-0.1195,21.8407,24400,1.64
2009,GOOG,IT,195.27,23651,14807,6520,0.5103,9836,36004,9316,-8019,233,10.6178,0,18.1091,16.1,18.1091,27.5675,0.6657,21.4997,19835,-0.3555
2022,NVDA,ELEC,359.5,26914,17475,9752,3.85,11215,26612,9108,-9830,1865,6.6503,0.4113,36.6451,22.0698,25.9652,36.2339,1.3378,48.946,22473,8.0028
2021,NVDA,ELEC,735.86,16675,10396,4332,1.73,5630,16893,5822,-19675,3804,4.0904,0.4122,25.6438,15.0464,18.9526,25.979,0.1419,43.4809,18975,4.6979
2020,NVDA,ELEC,323.24,10918,6768,2796,1.13,3227,12204,4761,6145,-792,7.6738,0.1631,22.9105,16.1479,19.6971,25.6091,0.471,24.2351,13775,1.2336
2019,NVDA,ELEC,144,11716,7171,4141,1.6575,4066,9342,3743,-4097,-2866,7.9436,0.2128,44.3267,31.1541,36.549,35.3448,0.1057,47.7129,13277,1.8122
2018,NVDA,ELEC,81.44,9714,5822,3047,1.205,3409,7471,3502,1278,-2544,8.0269,0.2677,40.7844,27.1061,32.2229,31.3671,0.5725,44.8022,11528,2.4426
2017,NVDA,ELEC,117.26,6910,4063,1666,0.6425,2121,5762,1672,-793,291,4.774,0.4877,28.9136,16.9292,21.4249,24.11,0.0975,33.0556,10299,2.1301
2016,NVDA,ELEC,57.53,5010,2811,614,0.27,973,4469,1175,-400,-676,2.5746,0.3379,13.7391,8.3311,13.4472,12.2555,0.124,16.6621,9227,1.2616
2015,NVDA,ELEC,17.73,4682,2599,631,0.28,1007,4418,906,-727,-834,6.3761,0.3164,14.2825,8.7627,10.8494,13.4772,0.1033,17.6356,9228,0.1186
2014,NVDA,ELEC,10.9,4130,2268,440,0.185,740,4456.398,835,-806,390,5.949,0.3083,9.8734,6.0682,7.5468,10.6538,-0.0022,12.5099,8808,1.6222
2013,NVDA,ELEC,9.11,4280.159,2226.343,562.536,0.225,874.4742,4827.703,824.172,-743.992,-15.27,4.8916,0.0039,11.6523,8.7728,11.6066,13.1429,-0.0561,14.5195,7974,1.4648
2012,NVDA,ELEC,7.66,3997.93,2056.517,581.09,0.235,852.5038,4145.724,909.156,-1143.364,236.723,4.1995,0.0052,14.0166,10.4646,13.9445,14.5348,0.0671,18.2816,7133,2.0693
2011,NVDA,ELEC,8.46,3543.309,1409.09,253.146,0.1075,442.7361,3181.462,675.797,-649.678,192.021,3.4232,0.0074,7.9569,5.6314,7.8988,7.1443,0.0588,10.034,6029,3.1568
2010,NVDA,ELEC,8.95,3326.445,1176.923,-67.987,-0.03,97.7189,2665.14,487.807,-519.333,61.059,3.1628,0.0092,-2.551,-1.8959,-2.5278,-2.0438,0.2588,-3.1261,5706,1.64
2009,NVDA,ELEC,10.37,3424.859,1174.269,-30.041,-0.0125,114.3228,2394.652,249.36,-209.367,-349.274,2.7845,0.0107,-1.2545,-0.8966,-1.2412,-0.8771,-0.0722,-1.5999,5420,-0.3555
2022,INTC,ELEC,109.08,63054,26866,8014,1.94,15369,103286,15433,-10477,1361,1.5676,0.4071,7.7619,4.4025,5.687,12.7097,-4.564,11.506,131900,8.0028
2021,INTC,ELEC,209.45,79024,43815,19868,4.86,31248,95391,29456,-24449,-6045,2.1323,0.3994,20.828,11.7977,15.4134,25.1417,-2.8278,32.4864,121100,4.6979
2020,INTC,ELEC,104.16,77867,43612,20899,4.94,35917,81038,35864,-21524,-12669,1.9087,0.4492,25.7891,13.6514,18.1833,26.8394,1.2739,46.4,110600,1.2336
2019,INTC,ELEC,260.35,71965,42140,21048,4.71,32861,77504,33145,-14405,-17565,1.4002,0.3742,27.1573,15.4171,20.4723,29.2476,0.7539,52.0977,110800,1.8122
2018,INTC,ELEC,214.19,70848,43737,21053,4.48,32401,74563,29432,-11239,-18607,1.7314,0.3535,28.2352,16.4524,21.1246,29.7157,0.8946,55.0924,107400,2.4426
2017,INTC,ELEC,216.03,62761,39098,9601,1.99,26179,69019,22110,-15762,-8475,1.6934,0.3885,13.9107,7.7899,10.2078,15.2977,-0.3622,30.1113,102700,2.1301
2016,INTC,ELEC,171.88,59387,36233,10316,2.12,20923,66226,21808,-25817,-5739,1.749,0.3818,15.577,9.1029,11.8745,17.3708,0.1101,24.1972,106000,1.2616
2015,INTC,ELEC,162.57,55355,34679,11420,2.33,22713,61085,19018,-8183,1912,2.4492,0.3711,18.6953,11.2558,14.0777,20.6305,0.3492,24.9236,107300,0.1186
2014,INTC,ELEC,175.46,55870,35609,11704,2.31,23896,55865,20418,-9905,-13611,1.7319,0.2444,20.9505,12.7356,17.231,20.9486,0.0651,28.8574,106700,1.6222
2013,INTC,ELEC,129.02,52708,31521,9620,1.89,20323,58256,20776,-18073,-5498,2.3647,0.2308,16.5133,10.416,13.4694,18.2515,0.452,22.5859,107600,1.4648
2012,INTC,ELEC,102.61,53341,33151,11005,2.13,22160,51203,18884,-14060,-1408,2.4312,0.2626,21.4929,13.0467,17.1047,20.6314,-0.3622,31.2128,105000,2.0693
2011,INTC,ELEC,123.48,53999,33757,12942,2.39,23541,45911,20963,-10301,-11100,2.151,0.1597,28.1893,18.1977,24.4212,23.9671,-0.1314,42.5864,100100,3.1568
2010,INTC,ELEC,117.31,43623,28491,11464,2.01,20226,49430,16692,-10539,-4642,3.3892,0.0428,23.1924,18.1433,22.2572,26.2797,0.8374,26.0315,82500,1.64
2009,INTC,ELEC,112.65,35127,19561,4369,0.77,10763,41704,11170,-7965,-2568,2.7871,0.0533,10.4762,8.2286,9.9856,12.4377,1.1789,11.7185,79800,-0.3555
